ckb_sentence	translation	variety	county	orthography
لەم شێواویەدا ئێمەش شێوانمان شێواوتر بوە.	ئەچا شێوانشێوەنە ئێمەیچ شێویاییمان شێویاتەر بیەبێنە.	Standard		Hawrami
گەریلاکانمان دژ بە سەربازگەی ودات ئۆزکایا چالاکیان ئەژجام داوە.	گەریلاکێمان دژ بە سەربازگەو ودات ئۆزکایای چالاکیشان ئەنجام دان.	Standard		Hawrami
وەکو فەرهەنگ هەزاران ساڵە کە بەرهەمی ئەزمونی ژیانی کەسایەتیەکانی دروستکردووە کە خاوەنی بیر و ئەقڵی تایبەت بە خۆیانن. 	چوون فەرهەنگی هەزاران ساڵە کە بەرهەموو تەجرۆبەکا ژیوایا کەسایەتییەش وەش کەردەن کە ساحێب و ویر و ئاوەزی تایبەت بە وێش هەن .	Standard		Hawrami
ئاگادارم کە ناهەقی زۆر بەرامبەر دۆزی کورد دەکرێت و دەبێت دوایی بەوە سەرجەم پێشێلکارییەکانی مافەکانی کورد لە تورکیا و ناوچەکەدا بدرێت و گوێ بە داواکاری مانگرەکان بدرێت و قبوڵبکرێن.	ئاگادارەنان کە ناهەقی فرە بە کوردی دۆزەکەێش مەکریۆنە و مشیۆم دمایی پانەیە و سەرجەم پاشێلکاری مافەکێ کوردی جە تورکیا وناوچەکەنە بەیۆنە و گۆش بە داۋاکاری مانگێرەکان بدریۆنە و قبوڵێ بکریانە.	Standard		Hawrami
زیلان و ئەدا و خوشکەکەی و کچ و ژنی دەوروبەری بەبەردەوامی ڕوبەڕوی فشارو ئەشکەنجە و لێدان بونەتەوە و لە بارودۆخێکی سەختدا ژیانیان بردۆتە سەر.	زیلانە و ئەڎا و واڵەکێش و کناچێ و ژەنی دوروبەریش بەبەردەوامی ڕووبەڕووێ فشاری و ئەشکەنەجەی و ونەدای بیێنێوە و بارودۆخێوی سەختەنە ژیوایشان بەردەن سەر.	Standard		Hawrami
بیرمان لەوەنەکردەوە بڵێین بیدەرە لای ئێمە.	نەئاوەزیێمان بواچمێنە بدەونەش لامان.	Standard		Hawrami
یان بەفر یان ئاوەدانی.	یا وەروە یا ئاوەدانی .	Standard		Hawrami
مەحتاجی یانی ببینیت کە منداڵەکانت دایمە میشەیان بێت.	مەحتاجی یانێ وینی زاڕوڵەکێڎ دایمە مشەشا مێ.	Standard		Hawrami
کۆبونەوەکە لە کاتێکدا ئەنجامدرا کە لە شەوی ڕابردووەوە تا ئەمڕۆ هێزە ئەمنیەکان بە هەڕەشە و ئاستەنگی و دەستگیرکردن هەوڵیاندابوو کۆبونەوەکەی ئەمڕۆ ئەنجام نەدرێت.	کۆبییەکەی جە سەروەختێوەنە ئەنجام دریا کە جە شەوێ ویەدێوە تا بە ئارۆ هێزە ئەمنیەکێ بە هەڕەشێ و ئاستەنگیێ و دەستگیرکەردەی هەوڵشان دابێ کۆبییەکەو ئارۆی ئەنجام نەدریۆن.	Standard		Hawrami
هاوکات زرێپۆشێکی کوبرا کە بە هانای هێزەکانی دوژمنەوە هاتبوو لێیدراوەو بە تەواوی لەناو بردراوە.	هاموەخت زرێپۆشێۋی کوبرا کە بە هانا هێزەکێ دوژمنی ئامابێ دریانش ۋنە بە تەمامی دلێنەبریان.	Standard		Hawrami
لە شەڕەکاندا دوژمن زەڕبەی زۆر قورسی لێدراوە و دەیان کوژراو و برینداری هەبووە، لە ئەنجامدا سەرێکانی و تەل حەلەف بە تەواوی ڕزگارکراون دوژمن و تاقمە چەتە بەکرێگیراوەکانی ناچاری کشانەوە کراون.	جە جەنگەکانە دوژمن گورزی فرە قورسش ۋنە دریان و دەیان کوشیێ و بریندارێش دێنێ و جە ئاکامەنە سەرێکانی و تەل خەلەف بە تەمامی ڕزگارێ کریێنێ و دوژمن و تاقمە چەتە بەکرێگیریێکێش ناچارێ دمارەگێڵای کریێنێ.	Standard		Hawrami
ئەوانیش نابەرپرسانە زەمینەیان بۆ ئەنجامدانی ئەو تاوانە ئامادە کرد.	ئاڎێشایچ ناوەرپەرسانە زەمینەشا پەی ئەنجامدای ئا تاوانێ ئامادە کەرد.	Standard		Hawrami
دوربکەونەوە ئەگەر نا هەڵتان دەلوشت و دەبنە پەندی هەمووان.	دوورێ بگندێوە ئەننا هۆرتان مەلووشۆنە و مەبیدێنە پەننەو عاڵەمی.	Standard		Hawrami
زۆر زیاتر بووە.	ی فرە زیاتەر بییەن.	Standard		Hawrami
لە گوندی جلبر سەر بە ناوچەی شێراوا شەڕکەرەکانیان دژ بە هێزەکانی تورکیا چالاکیان ئەنجام داوە. 	جە دەگاو جلبری سەر بە ناوچەو شێراوای شەڕڤانەکێشان دژ بە هێزەکێ تورکیای چالاکیشان ئەنجام دان.	Standard		Hawrami
هێزەکانمان لە دوو قۆڵەوە هێرشیان کردوەتە سەر هێزەکانی دوژمن و زەربەی قورسیان لێداوە. 	هێزەکێمان جە دووێ قۆڵێۋە هێرششان بەردەن سەرو هێزەکێ دوژمنی و گورزی قورسشان ۋنە دان.	Standard		Hawrami
سوپا بەزراوەکەی تورکیا بە هاوان و تۆپی قورس و هێزی زۆر هێرشی کردووە و بە چەندین ئەمبوڵانس کوژراو و بریندارەکانی ئەگواستەوە.	سپا بەزیاکەو تورکیای بە هاوەنێ و تۆپێ قورسێ و هێزی فرە هێرشش کەردەن و بە چەندین ئامبوڵانسێ کوشتۍ و بریندارەکێش فاڕێنێۋە.	Standard		Hawrami
بەڵکو فشارەکانیان بۆ سەر جەلالیەکان زیاتر کردووە.	بەڵکو فشارەکێشان پەی سەرو جەلالیانێ زیاتەرێ کەردێنێ.	Standard		Hawrami
نەک تێکدانی سروشت.	نەک تێکدانی سروشت.	Standard		Hawrami
بە هەمووی زمان لە دوو مەیداندا بەکاردێت. 	بە گردی زوان جە دوێ مەیدانانە بە کار مێ .	Standard		Hawrami
بیرمدێت کە لە قوتابخانە لەبارەی سەلامەتیەوە چیم خوێندووە.	ویرم مێ مەکتەبەنە جە بارەو سڵامەتیۆ چێشم وانا.	Standard		Hawrami
کۆچکردنەکەیان کردوە بە ناوی کەسایەتیێکی هەڵکەوتەی دیاری بەناوبانگ. 	کۆچکەردەشان بە کەسایەتیێوی نامی و هۆرکەوتە و دیار و ئاوازەدار بەنامێ کەردەن.	Standard		Hawrami
سەرجەمیان لەسێدارە دران کە سەید ڕەزا و دوو کوڕی لە ناویاندا بوون.	سەرجەمشان کە سەید ڕەزا و دووێ کوڕێش میانشانە بێنێ جەدار دریێ.	Standard		Hawrami
ئەوە بوو بە هاندەرمان تاکو بەژداری گەریلا و بزوتنەوە ببین.	ئانە بی بە هاندەرمان تا بەشدارێ گەریلای و جمیەری ببێمێ.	Standard		Hawrami
دەڕۆم.	ملای ملو.	Standard		Hawrami
بەڵام ناتوانن قسەی پێ بکەن و لەگەڵ منداڵەکانیشیان قسەی پێ ناکەن.	بەڵام نمەتاوا قسیش پەنە کەرا و چەنی زاڕۆڵەکایچشا پەنەش نمەدوا.	Standard		Hawrami
ڕادیۆی دەنگی وڵات و کۆنگرەی نەتەوەیی کوردستان لەگەڵ چەندین سیاسەتمەدار و ڕۆژنامەوان دەسگیرکران و دەستیانگرت بەسەر ئامێرەکانی ڕۆژ تیڤی و ڕادیۆی دەنگی وڵاتدا.	ڕادوینۆ دەنگو وڵاتی و کۆنگرەو نەتەوەیی کوردستانی چەنڎین سیاسەتمەدارێ و ڕۆچنامەوانێشان دەستگیرێکەردێ و دەستشان گێرت سەرو ئامێرەکانو ڕۆژ تیڤی و ڕادوینۆ دەنگو وڵاتیەرە.	Standard		Hawrami
گەمارۆی دەوروبەری شوێنی کۆبونەوەکەیان داوەو هەوڵیان داوە بەزۆر کۆتایی پێ بهێنن. 	ی دەورپێچ و گەمارۆو یاگێ کۆبییەکەیشان دان و هەوڵشان دان بەزۆر دماییش پنە باوەرانێ.	Standard		Hawrami
دروستی کردووە.	ی دروست کەردەن.	Standard		Hawrami
بەڵام قبوڵی ناکەن.	بەڵام قەبوڵش نمەکەرانێ.	Standard		Hawrami
ئەگەر بموێرایە دەسم بە پێکەنین ئەکرد.	ئەگەر یارابیێم دەس کەرێنا خوای.	Standard		Hawrami
بەڵام دواتر لەژێر فشاری کوردستان و ئێران و جیهان و چالاکی و کەمینەکان سزاکەی گۆڕا بۆ هەتاهەتایی.	بەڵام دماتەر چێرو فشاری کوردستانی و ئێرانی و جیهانی و چالاکیێ و کەمپینەکانە سزاکێش پەی هەتاهەتایی فاڕیا.	Standard		Hawrami
ئەمانە قاپی زۆر پیس ناکەن.	ئینێ حاجەتێ فرێ پیسێ مەکەرا.	Standard		Hawrami
کچە هەورامی و وەرزشوان لە یانەی پێشمەرگە لە ئاستی عێراقدا سەرکەوتنی گەورەی تۆمارکردوە.	کناچە هەورامییە و ۋەرزشەۋانە جە یانەو پێشمەرگەی جە ئاستو ئێراقییەنە سەرکەوتەی گەورەش تۆمارکەرد.	Standard		Hawrami
پەیوەندیەکە تەنیا فیزیکییە و لەگەڵ ڕۆحی بەرامبەر بێگانەی.	پەیوەندیەکە تەنیا فیزیکیا و چەنی رۆحوو وەراوەرەکەیت بێگانەنی .	Standard		Hawrami
لەلای هەر کۆمەڵەیەک ئارەزوی مەسەلە و مەسەلەسازی هەیە.	لاو هەر جەماعەتێوە نیازش بە مسەلێ و مەسەلەسازین.	Standard		Hawrami
بەشوێنیدا زۆر باسی سیمانتیک و پراگماتیک کراوە.	شونیەرە بە کوڵی و پوختی باسو سیمانتیک و پراگماتیکی کریان.	Standard		Hawrami
پێی دەوڵەمەند کرا.	یش پنە دۆڵەمەند کریا.	Standard		Hawrami
کەس نەبوو داستانی ژیانی نەخوێندبێتەوە و نەبیستبێ.	کەس نەبێنە داستانەوە ئەوەژیوایش نەوانابۆوە و نەژنەوتەبۆنە.	Standard		Hawrami
ئەم سیاسەتە پەیڕەو دەکات.	ئەم سیاسەتە پەیرەو دەکات.	Standard		Hawrami
بەم شێوەیە گەورەترین ناوچەی پارێزگاریکردنەکەیان لەناویدا بە هەموو شێوازێ ڕاوکردن و داربڕین قەدەغەیە.	ن و بەی تەورە گەورەتەرین ناوچەی پارێزگاری کریان و دلێشەنە بە گرد شێوازێ ڕاوە و نێچیروانی و داربڕیەی قەدەغەن.	Standard		Hawrami
ئێواران تا بەیانی زوو، چرا دوورەکانی خوارەوە وەکو          تروسکە تروسک و ورشە ورشیانە.	وێرەگانە تا سەڵاتو سوحو ساڵێحانی چراوەکاو ئا وارە دوورە خەمبارەیچه چراومووشینە ئاسا و بێوچان تروسکە تروسکشان ئێنە و وریشە وریش.	Standard		Hawrami
ئەم ڕێکخراوە ئاوا گرنگیەکی تایبەت دەدات بە ئیشە زانستیەکان و 	ئی ڕێکوزیا هەرپاسە گرینگیەو تایبەت مڎۆ بە هەرمانەی زانستیانێ و هەر پاسە سەربەوێ بیەی دەسگاە ڕایاونەرەکا و دوورەو وستەیشا جە دەسەڵاتی سیاسی.	Standard		Hawrami
ئەمڕۆ سنە و مەریوان و سەوڵاوا و سلێمانی و هەڵەبجەش بۆ ئێمە هەروەکو ئەوروپان و ئەی هەورامیە هەڵهاتوەکانی ئەوروپا خۆتان بە تەنیا نەزانن.	ئارۆ سنە و مەریوان و سەوڵاوا و سلێمانی و هەڵبجەیچ پەی ئێمە هەر نمادو ئۆرووپاینێ و ئەی هەورامیە فەراریەکانو ئۆرووپای وێتان تەنیا نەزاندێ.	Standard		Hawrami
چەندین تانک بە تەواوی لەناوبردراون، هەروەها چەندین ئۆتۆمبێل و زرێپۆش و تانک دەستیان بەسەردا گیراوە و چەندین چەتە بەدیل گیراوە.	چەدین تانکێش بەمتەمامی دلێنە بریێنێ و چەندین ماشینێ وزێپۆشێ و تانکێ دەستشان گیریان سەرەرە و چەنڎین چەتێ بەدیلێ گیرێنێ.	Standard		Hawrami
لە سیستەمی وڵاتە دیموکراسیەکاندا بە هیچ جۆرێ جیاکاری ناکرێت لە نێوان خەڵکەکەدا و یاساکان بۆ هەموو کەسێکە و وەکو یەک لەسەر هەموو کەسێک جێبەجێ دەکرێن. 	جە سیستم و ووڵاتە دیموکراتیەکانە بەهیچ نۆعێ جیاکاری مەکریۆن بەینو خەڵکەکەیەنە و یاسێکێ پەی گرد کەسێوی پسەو یۆیەنێ سەرو گرد کەسێویەرە جێ بەجێ کریان .	Standard		Hawrami
هەزارکەس بەیەکجار ڕژانە سەر شەقام و مەیدانەکان، پشتیوانییان بۆ ڕۆژئاوا دووپات کردەوە هاوکات هێرشکەرەکانی تورکیا و تاقمە چەتەکانی بە خراپی شەرمەزاربوون.	یەنە سەدان هەزار کەسێ مجیێرە شەقامێ و مەیڎانەکان و پەشتیۋانیشان پەی ڕۆژاڤای دووپات کەردەۋە و هاموەخت هێرشە ئەرەگێرەکێ تورکیای و تاقمە چەتەکانش بە تونڎی شەرمەزارێ کەردێ.	Standard		Hawrami
بە پێی ئیسلام هەر مانگرتنێک و چالاکیێک لە چوارچێوای ڕۆژودا ئەنجام بدرێت بە ڕۆژوی خێر هەژمار دەکرێت و خێرێکی گەورەیان هەیە.	بە پاو ئیسلامی هەر مانگێرتەی و چالاکیێ جە چوارچێۋەو ڕۆچێنە ئەنجام بدریۆنە و بە ڕۆچێ خێرێ مەیۆنە ئەژمار و خێرێ گەورێشان هەنە.	Standard		Hawrami
کوژراو و بریندارەکانی بە هەلیکۆپتەر لە ناوچەکە دورخستۆتەوە.	کوشتێ و بریندارەکێش بە هەلیکۆپتەرێ جە ناوچەکەنە دوورێ ۋستێنێۋە.	Standard		Hawrami
بە بێگومان و بێ هیچ پێچ و پەنایێک خیانەتکار و ڕەگەز پەرست خاوەنی هیچ کەرامەت و ئەخلاقێکی ئینسانی نییە.	بێ شک و بێ هیچ پێچ و پەنا و ڕودەربایسیە خیانەتکار و ڕەگەز پەرسا و ساحیبوو هیچ کەرامەت و ئەخلاقێ ئینسانی نیا.	Standard		Hawrami
هاوکات لە زەوی و ئاسمانەوە بۆردومان و تۆپبارانێکی سەخت هەیە.	هاموەخت جە زەمین و ئاسمانەۋە بۆردومان و تۆپۋارانی دژوار هەن.	Standard		Hawrami
کۆمەڵکوژی هەڵەبجە گەورەترین کۆمەڵکوژییە بە چەکی کیمیایی لە دوای جەنگی دووەمی جیهانی دووەمەوە، ڕژێمی سەدام و وڵاتە یارمەتیدەرەکانی و ئێران و کڵاوسورەکانن تاوانبار.	کۆمەڵکوشی هەڵەبجەی گەورەتەرین کۆمەڵکوشییەن بە چەکی شیمیایی دمای جەنگی جیهانی دووەمی و ڕژیمو سەددامی و وەڵاتە یاردیدەرەکێش و ئێران و کڵاوسوورەکێنێ تاوانبارێنێ.	Standard		Hawrami
هێشتا بریندارەکانی کیمیاباران چارەسەر نەکراون برینەکانیان بەئازارن هەرماوەی جارێک یەکێکیان بە شێوەیەکی تراژیدی دەمرێت	هێشتای بریندارەکێ کیمیاوارانی چارەسەر نەکریێنێ و زامەکێشان بەسۆنێ و هەر ماوێو جارێو یۆشان یان یوەشان تراژیدیانە گیانش مەسپارۆنە.	Standard		Hawrami
شەوچەرە لە هەوراماندا تایبەت بوە بەو بەرهەمانەی کە لە باخەکاندا هەبوە.	شەوچەرە جە هەورامانەنە تایبەت بێ بە ئا سەمەرا کە باخەکانە بێ.	Standard		Hawrami
پێویستییان بۆ تەفسیر و تەئویل بووە.	ئەوەجەشان پەی تەفسیر و تەئویلی بیەن .	Standard		Hawrami
ئاشکرای دەکەین کە هەرکەس دەستی لە کاولکاری ژینگەی کوردستاندا هەبێت لە چوارچێوەی وڵات و شارەکاندا شوێنی دەکەون.	بە ئاشکرایچ یاونمی کە هەر کەس دەسش جە کاوڵاری ژیوگەو کوردستانی بۆ جە چوارچێوەو وەڵاتورەشا یاگێ گێرا .	Standard		Hawrami
ڕێنمایکردنی هاوڵاتیان تاکو لە ماڵەکانیاندا بمێننەوە.	ڕانمایی کەردەی هاموڵاتیان تا جەیەنەکانشانە بمەناوە.	Standard		Hawrami
یان بۆ دەرمانی کرم.	یا پەی دەواو کرما.	Standard		Hawrami
و لە جارنامەی جیهانی مافەکانی مرۆڤدا.	و جاڕنامەو گەردونی مافەکانو مرۆڤەیەن.	Standard		Hawrami
چاپکرا و لە شاری پاوە لە مەراسیمێکی گەورەی جەماوەریدا پەردەی لەسەر لادرا و بڵاوکرایەوە.	ی چاپ کریا و جە پاوە شار بە مەڕاسیمێوی گەورەی جەماوەری پەردەش سەر لادریا و وەڵاو کریاوە.	Standard		Hawrami
من باسی هەوا و ئارەزووم کرد کە دوو سەد ساڵ پێش ئێستا لە مەزهەبی یاردا هەبوون.	من باسوو هەواس ئاوایم کەرد کە جە دوەسەد ساڵێ وەڵێ ئامای سڵتانی بە مەزەبوو یاری بیێنێ.	Standard		Hawrami
پێویستە هەم خەڵک و هەم چالاکوانەکانی کۆمەڵگا بزانن کە یەکنەگرتن و دوبەرەکی لەهەر حاڵەتێکدابێت دەکەوێتە بازنەی خزمەتکردنی داگیرکەران و دەسەڵاتداران.	لازما هەم خەلک و هەم چالاکێ کۆمەڵگای بزانا کە یۆنەگێرتەی و دوەبەرەکی جە هەر حاڵەتێوەنه گنۆنه بازنەو خزمەت بە داگیرکەرا و دەسەڵاتدارا.	Standard		Hawrami
تا لەمە زیاتر دۆسیەی کۆمەڵکوژی پاریس پەردەپۆش نەکرێت، ئەنجامدەرەکانی ئاشکراو دادگایی بکرێن و دۆسیەکە نەکاتە قوربانی بەرژەوەندییەکانی لەگەڵ تورکیا.	تا جە ئینەیە زیاتەر دۆسیەو کۆمەڵکوشی پاریسی پەردەپۆش نەکەرۆنە و بکوشێ و ئەنجامدرەکێ کە دیارێنێ ئاشکرێ و دادگایی بکەرۆنە و دۆسیەکەی نەکەرۆنە قۆربانی بەرژەوەندیەکانش چەنی تورکیای.	Standard		Hawrami
لە تورکیا و جیهاندا دژی گۆشەگیر ئیمراڵی ئەنجام دەدرێت.	تورکیا و جیهانەنە دژ بە گۆشەگیر ئیمرالی ئەنجام مدریۆنە.	Standard		Hawrami
هەر هەنگاوێک کە بە ئامانجی ئابوری هەڵبگیرێت و زیان بە ژینگە بگەیەنێت، دەوەستێندرێت. 	هەر هەنگامێ کە بە ئامانجوو ئابووری هۆرگریۆ و زەرەر جە ژیوگەی دۆ ، مدریۆ .	Standard		Hawrami
ئێستەش لە هەندێک گوندا ماوە.	ئیسەیچ بڕێ دەگایێنە مەنەن.	Standard		Hawrami
بەڵام تاسەر ئەم بارودۆخە بەم شێوەیە نامێنێتەوە.	بەڵام تا سەر بارودۆخەکە بەی تەورە نمەشیۆنە.	Standard		Hawrami
ی بە تەقەی هێزە نیزامیەکانی ئێران کوژراوە.	ی بە تەقەو هێزە نیزامیەکانو ئێرانی کوشیان.	Standard		Hawrami
سەرەتا هەوڵدەدەن فریویان بدەن و بە فێڵ بیاننێرنە ناو چەتەکانی داعشەوە.	سەرەتا هەوڵو هۆرخەڵەتنیاشان مڎانێ و بە فێڵێ گەرەکشانە ڕەوانێ دلێ چەتەکانو داعشیشان بکەرانێ.	Standard		Hawrami
توندی هەناسەی.	توندی هەناسەی.	Standard		Hawrami
نە زیاد و نە کەم.	نە زیاد و نە کەم.	Standard		Hawrami
وادیارە ئەمە زیانێکی دەرون ناسی و کۆمەڵناسی دەوێت ئەم وتارە شوێنی ئەم باسە نییە.	دیارەن ئینە خەسارێوە دەروون ژناسی و کۆمەڵژناسیش گەرەکەن و ئی وتارە یاگێ ئا باسیە نیەنە.	Standard		Hawrami
ناڕەزایی سەرجەم چینەکان و کۆی کوردەواری و هەموو لەیەک داواخوازن کە پەدەکە واز لە هەڵگیرساندنی ئاگری شەڕ بهێنێت و لەوە زیاتر نەکەوێتە خزمەتی تورکیای شەڕانگێزەوە.	ی ناڕەزایەتی سەرجەم چینەکێ گلێرگەو کوردەواریش ونەکەفتەنەوە و گرد لایێ وازیاریێنێ پەدەکە واز جە هۆرگیرسنای ئێرو جەنگی باوەرۆنە و جە ئانەیە زیاتەر نەگنۆنە خزمەتو پیلانەکانو تورکیای ئەرەگێری.	Standard		Hawrami
هەبوونییەکان و ژیانکردن و وتەکانی جاران.	بییەو ژیواین و واچمانو جارانی.	Standard		Hawrami
دوژمن بە هەلیکۆپتەرێکی سکۆرسکی سەربازی لە ناوچەکەدا دابەزاندووە و ئۆپراسیۆنی ئەنجامداوە و جەستەی بەکرێگیراوەکەی بە هەلیکۆپتەر هەڵگرتوەتەوە و لە ناچەکەدا دوریخستوەتەوە.	دوژمن بە کۆپتەرێ سکۆرسکیێ سەربازێش جە ناوچەکەنە ۋەزنێنێرە و ئۆپەراسیۆنش ئەنجام دان و لاشەو بەکرێگیریاکەش بە هەلیکۆپتەر هۆرگێرتەنەۋە و جە ناوچەکە دوورش ۋستەنەۋە.	Standard		Hawrami
مەرکەزیەت و لامەرکەزیەت بابەتێکی زۆر گرنگە زۆربەی کات قسەی لەسەر کراوە و نوسراوە بەڵام کەم کەس بەشێوەیەکی ئەکادیمی قسەی لەسەر کردووە.	مەرکەزیەت و لامەرکەزیەت بابەتێوی فرە مۆهیما فرەو جارا سەرش قسێ کریەنێ و نویسیەنێ و بەڵام کەم کەس بەشێوێوی ئەکادیمی قسێش سەرکەردەن .	Standard		Hawrami
کە گەشە بە تایبەتمەندیە ئەخلاقیەکانیشی بدات.	کە گەشە بە تایبەتمەندیە ئێخلاقیەکایچش بڎۆ.	Standard		Hawrami
یەن ئەمڕۆ جیهانی تەنیوەتەوە و بووە بە هێز و ستاتۆیێکی نکۆڵی لێ نەکراو و خاوەنی دەستکەوتێکی مەزنە.	یەن و ئارۆ جیهانش تەنیەنەۋە و بییەن بە هێز و ستاتۆیێۋی نکۆڵی نەکریا و خاوەن دەستکەوتێ مەزنێن.	Standard		Hawrami
ئەو رۆژەی کە بە برینداری لەیەکتری جیابوینەوە هەمومان مرین.	کە بەبرینداری جیا بیەیمێ ئاڕوە گردیما مەردیمێ.	Standard		Hawrami
بەڵام خەڵکی پاوە لە بەڵێنەکەی بە گومانن.	بەڵام پاوەیەکێ جە بەڵێنەکەی بە گومانێنێ.	Standard		Hawrami
ئەمە هەنگاوی زۆر گرنگ و پرشنگداری ناوە بەجۆرێک تا ئەمڕۆش کورد شانازییان پێوە دەکات.  	ینە هەنگامێ فرە گرنگێ و پڕشنگدارێش نیێ بە جۆرەێوە تا بە ئارۆچ کورد شانازیشان پۆوە مەکەرۆنە.	Standard		Hawrami
لەوپەڕی بێدەنگی و بێدەسەڵاتیدا چییان توانیوە و چۆن توانیویانە بیگەیەنن.	ئەوپەڕو بیدەنگیی و بێدەسەڵاتینە چێششان تاوان و چەنی بتاوایاشان و بیاونایاشان.	Standard		Hawrami
ئێمە وەکو یەدەپە بە ئەرکی ئەخلاقی و نەتەوەیی خۆمانی نازانین تاکو لە ئاسەواری کارەساتەکە کەم بکەینەوە. 	ئێمە پێسەو هەدەپەی بە ئەرکی ئەخلاقی و نەتەوەیی وێمانش مەزانمێنە تا جە ئاسەوارو کارەساتەکەی کەم بکەرمێۋە.	Standard		Hawrami
ئێستە لە ژێر دەسەڵاتداری ڕژێمی تورکیا و تاقمە چەتە بەکرێ گیراوەکانیەتی تاکە ڕێگە بۆ ناردنی چەتەکان تەنیا تورکیایە.	ئیسە ئینا چێرو دەسەڵاتداری ڕژێمو تورکیای و تاقمە چەتە بەکرێگێریاکانشەنە و تاکە ڕا پەی ڕەۋانەکەردەو چەتەکان تەنیا تورکیان.	Standard		Hawrami
کۆمیسیۆنی باڵای پەنابەرانی نەتەوە یەگرتووەکان و ڕێکخراوی مافەکانی مرۆڤ لە هەوڵدان بۆ کۆتایی پێهێنانی گەمارۆی کەمپی مەخموور.	کۆمیساریاو باڵاو پەنابەرانو نەتەوە یۆگرێتەکان و ڕێکۋزیێ مافەکێ مرۆڤی تا کۆشانە پەی کۆتایی ئارۋردەی بە گەمارۆ و دۆرپێچدای وارگەو مەخمووری.	Standard		Hawrami
بەرەوڕوی شارەکە بەڕێکەوتوون.	ڕوو بە شارەکەی کەوتێنێ ڕا.	Standard		Hawrami
هاتوچۆکردن و سەردانی کەمپەکە وە بە پێچەوانەوە بۆ هەولێر قەدەغەیە.	هامۆشییە و سەردای پەی کامپەکەی و بە پێچەۋانەۋە پەی هەولێری قەدەغەن.	Standard		Hawrami
دوابەدوای چالاکییەکە دوژمن کوژراو و بریندارەکانی بە هەلیکۆپتەرێکی سکۆرسکی گواستونەتەوە و بێسەروبەرانە ناوچەکەی تۆپباران کردووە.	دمابەدمای چالاکییەکەی دوژمن کوشتێ و بریندارەکێش بە هەلیکۆپتەری سکۆرسکی فاڕێنێۋە و بێسەروبەر ناوچەکەش تۆپۋاران کەردەن.	Standard		Hawrami
ئۆزباکستان و ئۆکرانیا بەباشی خەباتی بەڕێوەبردووە.	ئۆزبەکستان و ئۆکراینا کارا خەباتش ڕاۋەبەردەن.	Standard		Hawrami
هاوکاری کردنیان.	هامکاری کەردەیشان.	Standard		Hawrami
چونکە دەسەڵاتی کوردی هەرگیز لە خەمی زماندا نەبووە.	چوون دەسەڵاتی کوردی هەرگیز خەمو زوانینە نەبیەن.	Standard		Hawrami
لە کونسوڵخانەی ئەوروپادا دیدارەکەیان ئەنجامدا.	جە کۆنسەو ئەورووپای دیدارەکەشان ئەنجامدا.	Standard		Hawrami
ئەمەش زۆر نائاساییە بەڵام مەحاڵیش نییە.	ئینەچ فرە نائاسایین وەلێم مەحاڵیچ نیەن.	Standard		Hawrami
وەرەوە و لە خاکی هەرێمدا بژی.	بۆرێ و خاکیێ هەرێمەنە ژیوێنێ.	Standard		Hawrami
کەس نەبوو کە ناوبانگی نەبیستبێت و حەزی بینینی نەجوبێتە بیریەوە.	کەس نەبێنە شۆرەتشش نامابۆنە گۆش و حەزو وێناش نەلوابۆنە هۆشی بێهۆش.	Standard		Hawrami
دواتر بە پشتیوانی هێزەکانی پارتی جارێکی دیکە هێزەکانی تورکیا گەڕێندرانەوە بۆ شیلادزێ و سیرێ و لە ئێستەشدا بنکە و بارەگای تازەیان بۆ دروست ناکرێت.	دماتەر بە پەشتیۋانی هێزەکێ پارتی جارێوتەر هێزەکێ تورکیای گێڵنیێۋە شیلادزێ و سیرێ و جە ئیسێچەنە بنکێ و بارەگێ تازێشان پەی دروستێ مەکریانە.	Standard		Hawrami
تێپەڕیون بەلایدا و خۆیانیانی لێکەڕکردووە	گۆشادارێ و نەکۆشێچ ژنەوتەبێشان و ویەردێبێنێ بەسەزوانانە و بێ ئاژاولێ و دەردیسەر.	Standard		Hawrami
بە چالاکیێک پشتیوانی لە ڕێبەر ئۆجەلان و لەیلا گۆڤەن و هاوڕێ مانگرەکانیان کرا و               شەرمەزار کرا.	بە چالاکیێ پەشتیوانی جە ڕێبەر ئۆجالانی و لەیلا گۋڤەنێ و مانگێرە هامڕاکێش کریا و گۆشەگیری ئیمرالی شەرمەزار کریا.	Standard		Hawrami
هاوکات لەسەر یوتیوب پەخشی ڕاستەوخۆی بەردەوامی هەیە.	هاموەخت جە سەرو یوتوبی پەخشی زینڎەی بەردەۋامش هەن.	Standard		Hawrami
بە جۆرێک کە بۆ کۆردنەوەی پارە و سەرمایە لە هیچ پرێنسیپێک خۆینەپارێزیبوو.	بە جۆرێ کە پێ گڵێرکەردەو زەرو و سەرمایەی جە هیچ پرنسیبێ وێش نەپارێزنان .	Standard		Hawrami
لە بنەماڵەیەکی نەریتی و خانەداندا گەورە بووە.	جە بنەماڵێوی نەریتی و فیئۆداڵەنە گەورێ بیێنە.	Standard		Hawrami
